# E(GeV)	Re_Tmatrix(GeV^-2)
3.190000	-2.748910e+00
3.200000	-2.750620e+00
3.210000	-2.752380e+00
3.220000	-2.754190e+00
3.230000	-2.756040e+00
3.240000	-2.757930e+00
3.250000	-2.759870e+00
3.260000	-2.761860e+00
3.270000	-2.763890e+00
3.280000	-2.765950e+00
3.290000	-2.768040e+00
3.300000	-2.770180e+00
3.310000	-2.772350e+00
3.320000	-2.774560e+00
3.330000	-2.776800e+00
3.340000	-2.779060e+00
3.350000	-2.781360e+00
3.360000	-2.783690e+00
3.370000	-2.786050e+00
3.380000	-2.788440e+00
3.390000	-2.790840e+00
3.400000	-2.793270e+00
3.410000	-2.795730e+00
3.420000	-2.798210e+00
3.430000	-2.800710e+00
3.440000	-2.803230e+00
3.450000	-2.805780e+00
3.460000	-2.808360e+00
3.470000	-2.810950e+00
3.480000	-2.813560e+00
3.490000	-2.816180e+00
3.500000	-2.818830e+00
3.510000	-2.821490e+00
3.520000	-2.824160e+00
3.530000	-2.826850e+00
3.540000	-2.829550e+00
3.550000	-2.832270e+00
3.560000	-2.835000e+00
3.570000	-2.837740e+00
3.580000	-2.840500e+00
3.590000	-2.843260e+00
3.600000	-2.846030e+00
3.610000	-2.848830e+00
3.620000	-2.851630e+00
3.630000	-2.854430e+00
3.640000	-2.857250e+00
3.650000	-2.860070e+00
3.660000	-2.862900e+00
3.670000	-2.865740e+00
3.680000	-2.868580e+00
3.690000	-2.871430e+00
3.700000	-2.874290e+00
3.710000	-2.877150e+00
3.720000	-2.880020e+00
3.730000	-2.882890e+00
3.740000	-2.885760e+00
3.750000	-2.888640e+00
3.760000	-2.891520e+00
3.770000	-2.894410e+00
3.780000	-2.897300e+00
3.790000	-2.900190e+00
3.800000	-2.903080e+00
3.810000	-2.905970e+00
3.820000	-2.908860e+00
3.830000	-2.911750e+00
3.840000	-2.914640e+00
3.850000	-2.917530e+00
3.860000	-2.920430e+00
3.870000	-2.923320e+00
3.880000	-2.926200e+00
3.890000	-2.929090e+00
3.900000	-2.931970e+00
3.910000	-2.934860e+00
3.920000	-2.937740e+00
3.930000	-2.940620e+00
3.940000	-2.943490e+00
3.950000	-2.946360e+00
3.960000	-2.949230e+00
3.970000	-2.952090e+00
3.980000	-2.954950e+00
3.990000	-2.957800e+00
4.000000	-2.960640e+00
4.010000	-2.963480e+00
4.020000	-2.966310e+00
4.030000	-2.969140e+00
4.040000	-2.971960e+00
4.050000	-2.974780e+00
4.060000	-2.977600e+00
4.070000	-2.980410e+00
4.080000	-2.983210e+00
4.090000	-2.986010e+00
4.100000	-2.988790e+00
4.110000	-2.991560e+00
4.120000	-2.994320e+00
4.130000	-2.997070e+00
4.140000	-2.999820e+00
4.150000	-3.002550e+00
4.160000	-3.005280e+00
4.170000	-3.007990e+00
4.180000	-3.010700e+00
4.190000	-3.013400e+00
4.200000	-3.016090e+00
4.210000	-3.018770e+00
4.220000	-3.021440e+00
4.230000	-3.024110e+00
4.240000	-3.026760e+00
4.250000	-3.029390e+00
4.260000	-3.032020e+00
4.270000	-3.034640e+00
4.280000	-3.037240e+00
4.290000	-3.039840e+00
4.300000	-3.042420e+00
4.310000	-3.044990e+00
4.320000	-3.047540e+00
4.330000	-3.050090e+00
4.340000	-3.052620e+00
4.350000	-3.055140e+00
4.360000	-3.057660e+00
4.370000	-3.060160e+00
4.380000	-3.062650e+00
4.390000	-3.065120e+00
4.400000	-3.067580e+00
4.410000	-3.070020e+00
4.420000	-3.072460e+00
4.430000	-3.074880e+00
4.440000	-3.077280e+00
4.450000	-3.079670e+00
4.460000	-3.082050e+00
4.470000	-3.084420e+00
4.480000	-3.086770e+00
4.490000	-3.089110e+00
4.500000	-3.091440e+00
4.510000	-3.093760e+00
4.520000	-3.096070e+00
4.530000	-3.098360e+00
4.540000	-3.100640e+00
4.550000	-3.102900e+00
4.560000	-3.105150e+00
4.570000	-3.107380e+00
4.580000	-3.109600e+00
4.590000	-3.111800e+00
4.600000	-3.113990e+00
4.610000	-3.116170e+00
4.620000	-3.118340e+00
4.630000	-3.120490e+00
4.640000	-3.122630e+00
4.650000	-3.124760e+00
4.660000	-3.126870e+00
4.670000	-3.128970e+00
4.680000	-3.131050e+00
4.690000	-3.133120e+00
4.700000	-3.135180e+00
4.710000	-3.137220e+00
4.720000	-3.139250e+00
4.730000	-3.141260e+00
4.740000	-3.143260e+00
4.750000	-3.145250e+00
4.760000	-3.147220e+00
4.770000	-3.149180e+00
4.780000	-3.151120e+00
4.790000	-3.153060e+00
4.800000	-3.154980e+00
4.810000	-3.156890e+00
4.820000	-3.158780e+00
4.830000	-3.160670e+00
4.840000	-3.162540e+00
4.850000	-3.164390e+00
4.860000	-3.166240e+00
4.870000	-3.168070e+00
4.880000	-3.169890e+00
4.890000	-3.171690e+00
4.900000	-3.173480e+00
4.910000	-3.175260e+00
4.920000	-3.177020e+00
4.930000	-3.178770e+00
4.940000	-3.180510e+00
4.950000	-3.182240e+00
