# E(GeV)	Re_Tmatrix(GeV^-2)
3.000000	-2.708140e+00
3.010000	-2.709600e+00
3.020000	-2.711100e+00
3.030000	-2.712640e+00
3.040000	-2.714220e+00
3.050000	-2.715830e+00
3.060000	-2.717500e+00
3.070000	-2.719200e+00
3.080000	-2.720930e+00
3.090000	-2.722690e+00
3.100000	-2.724480e+00
3.110000	-2.726340e+00
3.120000	-2.728220e+00
3.130000	-2.730110e+00
3.140000	-2.732020e+00
3.150000	-2.733940e+00
3.160000	-2.735880e+00
3.170000	-2.737830e+00
3.180000	-2.739800e+00
3.190000	-2.741790e+00
3.200000	-2.743790e+00
3.210000	-2.745830e+00
3.220000	-2.747880e+00
3.230000	-2.749940e+00
3.240000	-2.752010e+00
3.250000	-2.754090e+00
3.260000	-2.756190e+00
3.270000	-2.758290e+00
3.280000	-2.760400e+00
3.290000	-2.762510e+00
3.300000	-2.764630e+00
3.310000	-2.766750e+00
3.320000	-2.768880e+00
3.330000	-2.771010e+00
3.340000	-2.773140e+00
3.350000	-2.775270e+00
3.360000	-2.777410e+00
3.370000	-2.779550e+00
3.380000	-2.781680e+00
3.390000	-2.783810e+00
3.400000	-2.785940e+00
3.410000	-2.788080e+00
3.420000	-2.790210e+00
3.430000	-2.792330e+00
3.440000	-2.794450e+00
3.450000	-2.796570e+00
3.460000	-2.798680e+00
3.470000	-2.800790e+00
3.480000	-2.802890e+00
3.490000	-2.804990e+00
3.500000	-2.807080e+00
3.510000	-2.809160e+00
3.520000	-2.811230e+00
3.530000	-2.813300e+00
3.540000	-2.815360e+00
3.550000	-2.817410e+00
3.560000	-2.819450e+00
3.570000	-2.821490e+00
3.580000	-2.823510e+00
3.590000	-2.825530e+00
3.600000	-2.827530e+00
3.610000	-2.829530e+00
3.620000	-2.831520e+00
3.630000	-2.833490e+00
3.640000	-2.835460e+00
3.650000	-2.837420e+00
3.660000	-2.839360e+00
3.670000	-2.841300e+00
3.680000	-2.843220e+00
3.690000	-2.845130e+00
3.700000	-2.847030e+00
3.710000	-2.848920e+00
3.720000	-2.850800e+00
3.730000	-2.852670e+00
3.740000	-2.854530e+00
3.750000	-2.856370e+00
3.760000	-2.858200e+00
3.770000	-2.860020e+00
3.780000	-2.861830e+00
3.790000	-2.863630e+00
3.800000	-2.865410e+00
3.810000	-2.867180e+00
3.820000	-2.868940e+00
3.830000	-2.870690e+00
3.840000	-2.872420e+00
3.850000	-2.874140e+00
3.860000	-2.875860e+00
3.870000	-2.877560e+00
3.880000	-2.879240e+00
3.890000	-2.880920e+00
3.900000	-2.882580e+00
3.910000	-2.884230e+00
3.920000	-2.885870e+00
3.930000	-2.887500e+00
3.940000	-2.889110e+00
3.950000	-2.890710e+00
3.960000	-2.892300e+00
3.970000	-2.893880e+00
3.980000	-2.895440e+00
3.990000	-2.897000e+00
4.000000	-2.898540e+00
4.010000	-2.900060e+00
4.020000	-2.901580e+00
