# omega(GeV)	rho(GeV^-1)
1.120000	1.742390e-01
1.125000	1.713670e-01
1.130000	1.685350e-01
1.135000	1.657430e-01
1.140000	1.629910e-01
1.145000	1.602790e-01
1.150000	1.576050e-01
1.155000	1.549640e-01
1.160000	1.523620e-01
1.165000	1.498000e-01
1.170000	1.472780e-01
1.175000	1.447940e-01
1.180000	1.423480e-01
1.185000	1.399400e-01
1.190000	1.375690e-01
1.195000	1.352350e-01
1.200000	1.329370e-01
1.205000	1.306700e-01
1.210000	1.284390e-01
1.215000	1.262450e-01
1.220000	1.240860e-01
1.225000	1.219640e-01
1.230000	1.198760e-01
1.235000	1.178230e-01
1.240000	1.158040e-01
1.245000	1.138180e-01
1.250000	1.118650e-01
1.255000	1.099430e-01
1.260000	1.080530e-01
1.265000	1.061960e-01
1.270000	1.043690e-01
1.275000	1.025740e-01
1.280000	1.008090e-01
1.285000	9.907440e-02
1.290000	9.736900e-02
1.295000	9.569270e-02
1.300000	9.404500e-02
1.305000	9.242500e-02
1.310000	9.083270e-02
1.315000	8.926770e-02
1.320000	8.772950e-02
1.325000	8.621770e-02
1.330000	8.473190e-02
1.335000	8.327150e-02
1.340000	8.183630e-02
1.345000	8.042560e-02
1.350000	7.903920e-02
1.355000	7.767140e-02
1.360000	7.632840e-02
1.365000	7.500950e-02
1.370000	7.371450e-02
1.375000	7.244290e-02
1.380000	7.119430e-02
1.385000	6.996820e-02
1.390000	6.876420e-02
1.395000	6.758190e-02
1.400000	6.642100e-02
1.405000	6.528060e-02
1.410000	6.416090e-02
1.415000	6.306150e-02
1.420000	6.198190e-02
1.425000	6.092190e-02
1.430000	5.988100e-02
1.435000	5.885880e-02
1.440000	5.785510e-02
1.445000	5.686950e-02
1.450000	5.590160e-02
1.455000	5.495200e-02
1.460000	5.401930e-02
1.465000	5.310320e-02
1.470000	5.220330e-02
1.475000	5.131940e-02
1.480000	5.045110e-02
1.485000	4.959810e-02
1.490000	4.876030e-02
1.495000	4.793720e-02
1.500000	4.712860e-02
1.505000	4.633320e-02
1.510000	4.555200e-02
1.515000	4.478470e-02
1.520000	4.403120e-02
1.525000	4.329100e-02
1.530000	4.256400e-02
1.535000	4.184990e-02
1.540000	4.114850e-02
