# E(GeV)	Re_Tmatrix(GeV^-2)
2.960000	-5.642530e+00
2.970000	-5.659610e+00
2.980000	-5.676210e+00
2.990000	-5.692320e+00
3.000000	-5.707940e+00
3.010000	-5.723050e+00
3.020000	-5.737690e+00
3.030000	-5.751860e+00
3.040000	-5.765560e+00
3.050000	-5.778790e+00
3.060000	-5.791500e+00
3.070000	-5.803770e+00
3.080000	-5.815610e+00
3.090000	-5.827000e+00
3.100000	-5.837960e+00
3.110000	-5.848350e+00
3.120000	-5.858370e+00
3.130000	-5.868020e+00
3.140000	-5.877290e+00
3.150000	-5.886180e+00
3.160000	-5.894590e+00
3.170000	-5.902680e+00
3.180000	-5.910460e+00
3.190000	-5.917910e+00
3.200000	-5.925040e+00
3.210000	-5.931710e+00
3.220000	-5.938130e+00
3.230000	-5.944300e+00
3.240000	-5.950220e+00
3.250000	-5.955900e+00
3.260000	-5.961200e+00
3.270000	-5.966310e+00
3.280000	-5.971240e+00
3.290000	-5.975980e+00
3.300000	-5.980540e+00
3.310000	-5.984800e+00
3.320000	-5.988920e+00
3.330000	-5.992930e+00
3.340000	-5.996810e+00
3.350000	-6.000560e+00
3.360000	-6.004080e+00
3.370000	-6.007520e+00
3.380000	-6.010900e+00
3.390000	-6.014220e+00
3.400000	-6.017460e+00
3.410000	-6.020550e+00
3.420000	-6.023620e+00
3.430000	-6.026670e+00
3.440000	-6.029680e+00
3.450000	-6.032680e+00
3.460000	-6.035570e+00
3.470000	-6.038480e+00
3.480000	-6.041390e+00
3.490000	-6.044320e+00
3.500000	-6.047270e+00
3.510000	-6.050160e+00
3.520000	-6.053100e+00
3.530000	-6.056080e+00
3.540000	-6.059110e+00
3.550000	-6.062170e+00
3.560000	-6.065240e+00
3.570000	-6.068360e+00
3.580000	-6.071560e+00
3.590000	-6.074810e+00
3.600000	-6.078130e+00
3.610000	-6.081500e+00
3.620000	-6.084940e+00
3.630000	-6.088450e+00
3.640000	-6.092040e+00
3.650000	-6.095690e+00
3.660000	-6.099350e+00
3.670000	-6.103110e+00
3.680000	-6.106980e+00
3.690000	-6.110940e+00
3.700000	-6.115010e+00
3.710000	-6.119210e+00
3.720000	-6.123500e+00
3.730000	-6.127870e+00
3.740000	-6.132330e+00
3.750000	-6.136880e+00
3.760000	-6.141510e+00
3.770000	-6.146220e+00
3.780000	-6.151030e+00
3.790000	-6.155940e+00
3.800000	-6.160930e+00
3.810000	-6.166010e+00
3.820000	-6.171180e+00
3.830000	-6.176450e+00
3.840000	-6.181800e+00
3.850000	-6.187250e+00
3.860000	-6.192800e+00
3.870000	-6.198440e+00
